128435,YOLANDA CONTE PROFESSORA,146025,"JOSE ADRIANO MARREY JUNIOR, 503 - ESPLANADA DOS BARREIROS - 11340310"
107536,CEL JTO A EE REYNALDO KUNTZ BUSCH DOUTOR,145937,"GUARANI, 31 - BOQUEIRAO - 11701170"
128433,ANTONIO MOREIRA COELHO DEPUTADO,146022,"PRACA NOSSA SENHORA APARECIDA, SN - VILA FATIMA - 11355340"
125259,CEL JTO A EE MARTIM AFONSO,145991,"JOSE BONIFACIO, 102 - CENTRO - 11310080"
72564,JOSE NIGRO PROFESSOR,145881,"TRAVESSA DO PARQUE, SN - CATIAPOA - 11365330"
123866,VILA TUPI,145970,"BOROROS, 26904 - TUPI - 11703390"
123208,ALBINO LUIZ CALDAS PROFESSOR,145963,"RUA IRMA MARIA RITA DE SOUZA BRITO LOPES  IRMA DULCE, SN - HUMAITA - 11349330"
72581,REYNALDO KUNTZ BUSCH DR,145897,"PRACA GUARANI, 31 - BOQUEIRAO - 11701170"
110144,ALDEIA TEKOA MIRIM,145953,"RUA SERRA DA LEOA, SN - ALDEIA TEKOA MIRIM - 11717900"
72568,JARDIM BOPEVA,145885,"MONTEIRO LOBATO, 883 - OCIAN - 11704150"
125000,PORTAL DA JUREIA,145988,"RUA TUCURUVI, 620 - CENTRO - 11750000"
125834,AUGUSTO PAES D AVILA REVERENDO,145998,"RUA DOUTOR JULIO DE MESQUITA FILHO, 729 - AVIACAO - 11702350"
109301,CENTRO DE ATEND SOCIOED AO ADOLESCENTE PRAIA GRANDE I CI,145947,"CORYPHEU DE AZEVEDO MARQUES, SN - ESMERALDA - 11713590"
75401,OSWALDO LUIZ SANCHES TOSCHI,145921,"RUA SATURNINO DE BRITO, SN - SITIO DO CAMPO - 11725160"
109873,CEL JTO A EE AIDA LEDA BAUER DAVIES PROFESSORA,145950,"RUA SILVANO RIBEIRO DIROZ, 200 - VILA ARENS - 11730000"
72571,MARTIM AFONSO,145887,"JOSE BONIFACIO, 102 - CENTRO - 11310080"
75025,MARIA DULCE MENDES PROFESSORA,145910,"TUPI, 500 - PARQUE SAO VICENTE - 11355500"
128434,MARIA PACHECO NOBRE PROFESSORA,146023,"GUANABARA, 200 - BOQUEIRAO - 11700030"
137250,ALEXANDRINA SANTIAGO NETTO,146042,"RUA PAULO SETUBAL, 19345 - TREVO - 11700510"
72558,ENIO VILAS BOAS PROFESSOR,145880,"JOSE JOAQUIM DE AZEVEDO, 1166 - CIDADE NAUTICA - 11355040"
125834,AUGUSTO PAES D AVILA REVERENDO,145997,"RUA DOUTOR JULIO DE MESQUITA FILHO, 729 - AVIACAO - 11702350"
123871,JOAQUIM LOPES LEAO PASTOR,145974,"ALEXANDRE SENDIM, 150 - PARQUE BITARU - 11330420"
125836,ARMANDO VICTORIO BEI,146002,"CARIJOS, 1020 - PARQUE SAO VICENTE - 11360100"
75458,LUIZ ABEL,145923,"TOTA, SN - JARDIM DOS PRADOS - 11750000"
126162,ANTONIO LUIZ BARREIROS,146006,"PAULO HORCEL, 404 - JAPUI - 11325100"
