104130,BAIRRO TAQUARIQUARTA,171481,"TAQUARI, SN -  - 16200000"
104131,FAZENDA AGUA BRANCA,171482,"AGUA BRANCA, SN -  - 16200000"
104133,BAIRRO CASA DE TABOAS,171483,"CASA DE TABOAS, SN -  - 16200000"
133344,BAIRRO CASA DE TABOAS,171483,"CASA DE TABOAS, SN -  - 16200000"
104134,BAIRRO DO VEADO,171484,"BAIRRO DO VEADO, SN -  - 16200000"
104135,BAIRRO CORREGO FUNDO,171485,"BAIRRO CORREGO FUNDO, SN -  - 16200000"
104136,BAIRRO CORREGO FUNDO,171486,"CORREGO FUNDO, SN -  - 16200000"
74856,CORREGO DA AGUA BRANCA,171487,"CORREGO AGUA BRANCA, SN -  - 16200000"
104138,FAZENDA TRES MARIAS,171488,"FAZENDA TRES MARIAS, SN -  - 16200000"
104140,BAIRRO PAU LAVRADO,171489,"BAIRRO PAU LAVRADO, SN -  - 16200000"
104141,COLONIA CINCO,171490,"COLONIA CINCO, SN -  - 16200000"
74916,BAIRRO TAQUARIPRIMEIRA,171480,"BAIRRO TAQUARI, SN -  - 16200000"
104142,FAZENDA SANTO ANTONIO,171491,"FAZENDA SANTO ANTONIO, SN -  - 16200000"
104143,BAIRRO PAU LAVRADO,171492,"PAU LAVRADO, SN -  - 16200000"
104144,FAZENDA SANTA HELENA,171493,"FAZENDA SANTA HELENA, SN -  - 16200000"
104145,BAIRRO BAGUACUSEGUNDA,171494,"BAGUACU, SN -  - 16200000"
104146,FAZENDA BELA VISTA,171476,"FAZENDA BELA VISTA, SN -  - 16200000"
104147,SITIO MARTELLI,171495,"MARTELLI, SN -  - 16200000"
75239,BAIRRO DUAS BARRAS,171496,"BAIRRO DUAS BARRAS, SN -  - 16200000"
104148,FAZENDA BENES,171497,"FAZENDA BENES, SN -  - 16200000"
104149,FAZENDA BERTAGLIA,171498,"FAZENDA BERTAGLIA, SN -  - 16200000"
104150,BAIRRO DO MOINHO 14,171499,"MOINHO, SN -  - 16200000"
104151,FAZENDA TRES MARIAS,171488,"FAZENDA TRES MARIAS, SN -  - 16200000"
104152,FAZENDA MATO GROSSO,171500,"FAZENDA MATO GROSSO, SN - CENTRO - 15280000"
75329,FAZENDA FERRAZ,171501,"FAZENDA FERRAZ, SN - CENTRO - 15290000"
104153,FAZENDA LAGEADO,171502,"FAZENDA LAGEADO, SN - CENTRO - 15290000"
104154,FAZENDA MACUCO,171503,"FAZENDA MACUCO, SN - CENTRO - 15290000"
104155,BAIRRO CORREGO RICO,171504,"BAIRRO CORREGO RICO, SN - CENTRO - 16210000"
104156,FAZENDA PALMEIRA,171505,"FAZENDA PALMEIRA, SN - CENTRO - 15290000"
133345,FAZENDA LAGOA VERMELHA,171506,"FAZENDA LAGOA VERMELHA, SN - CENTRO - 15290000"
104157,SITIO CONSTANTINO,171507,"SITIO CONSTANTINO, SN - CENTRO - 15290000"
104159,FAZENDA TEIXERINHA,171508,"FAZENDA TEIXEIRINHA, SN - CENTRO - 15290000"
104160,FAZENDA PALMEIRINHA,171509,"FAZENDA PALMEIRINHA, SN - CENTRO - 15290000"
104161,FAZENDA TRES MARIAS,171488,"FAZENDA TRES MARIAS, SN -  - 16200000"
104163,BAIRRO CAXIMBA,171510,"BAIRRO CAXIMBA, SN - CENTRO - 16260000"
104164,BAIRRO CORREGO SECOSEGUNDA,171511,"BAIRRO CORREGO SECO, SN - CENTRO - 16260000"
104165,BAIRRO CAXIMBAPRIMEIRA,171510,"BAIRRO CAXIMBA, SN - CENTRO - 16260000"
104167,BAIRRO NOVA PROMISSAO,171512,"BAIRRO NOVA PROMISSAO, SN - CENTRO - 16260000"
133347,BAIRRO CORREGO DO CAMPO,171513,"BAIRRO CORREGO DO CAMPO, SN - CENTRO - 16260000"
104168,FAZENDA PARAISO,171514,"FAZENDA PARAISO, SN - CENTRO - 16260000"
104169,FAZENDA ALTO ALEGRE,171515,"FAZENDA ALTO ALEGRE, SN - CENTRO - 16260000"
104170,BAIRRO DO CORREGO DO CAMPO,171513,"BAIRRO CORREGO DO CAMPO, SN - CENTRO - 16260000"
133348,BAIRRO FLUENTE,171516,"BAIRRO FLUENTE, SN - CENTRO - 16260000"
104171,BAIRRO CORREGO SECO,171511,"BAIRRO CORREGO SECO, SN - CENTRO - 16260000"
104172,BAIRRO DO PERIQUITO,171517,"BAIRRO PERIQUITO, SN - CENTRO - 16220000"
