114785,BAIRRO DA AMERICANA,177122,"R JOAQUIM LOURENCO, 50 - VL AMERICANA - 18272131"
114786,BAIRRO DA AMERICANA,177123,"BAIRRO DA AMERICANA, SN - CENTRO - 18270000"
135534,BAIRRO TIJUCO PRETO,177124,"BAIRRO TIJUCO PRETO, SN - CENTRO - 18270000"
114787,BAIRRO DA AGUA BRANCA,177125,"BAIRRO DA AGUA BRANCA, SN - CENTRO - 18270000"
114788,BAIRRO DOS OLIVEIRAS,177126,"BAIRRO DOS OLIVEIRAS, SN - CENTRO - 18270000"
114789,BAIRRO DA INVERNADINHA,167667,"BAIRRO DA INVERNADINHA, SN - CENTRO - 18270000"
114790,BAIRRO COLINAS DE ARACOIABA,177127,"BAIRRO COLINAS DE ARACOIABA, SN - CENTRO - 18150000"
135535,BAIRRO COLINAS DE ARACOIABA,177127,"BAIRRO COLINAS DE ARACOIABA, SN - CENTRO - 18150000"
114791,BAIRRO BOA VISTA,177128,"BAIRRO BOA VISTA, SN - CENTRO - 18150000"
114792,BAIRRO DO JUNDIAQUARA,167713,"BAIRRO DO JUNDIAQUARA, SN - CENTRO - 18150000"
114793,BAIRRO DOS CRISTOVAOS,167721,"BAIRRO DOS CRISTOVAOS, SN - CENTRO - 18150000"
114794,BAIRRO DOS FARIAS,167723,"BAIRRO DOS FARIAS, SN - CENTRO - 18150000"
114795,BAIRRO DA CANGUERA,167735,"BAIRRO DA CANGUERA, SN -  - 18157000"
114796,BAIRRO CAPANEMA,177129,"BAIRRO CAPANEMA, SN -  - 18157000"
135536,ESTACAO GEORGE OETTERER,177130,"ESTACAO GEORGE OETTERER, SN -  - 00000000"
114797,BAIRRO CAETEZAL,177131,"BAIRRO CAETEZAL, SN - CENTRO - 18170000"
114798,BAIRRO CAETEZAL,177131,"BAIRRO CAETEZAL, SN - CENTRO - 18170000"
114799,BAIRRO DOS JACINTOS,177132,"BAIRRO DOS JACINTOS, SN - CENTRO - 18170000"
114800,ACAMPAMENTO DA ACM,177133,"ACAMPAMENTO DA ACM, SN - CENTRO - 18170000"
114801,BAIRRO DO PINHALZINHO,177134,"BAIRRO DO PINHALZINHO, SN -  - 00000000"
135537,BAIRRO DO CHAPADAO,177135,"BAIRRO DO CHAPADAO, SN -  - 00000000"
114802,BAIRRO DO CAXANGA,177136,"BAIRRO DO CAXANGA, SN -  - 00000000"
114803,BAIRRO DA BARRA,177137,"BAIRRO DA BARRA, SN - POVOADO DE JUNDIAQUA - 18190000"
114804,BAIRRO DO ALEGRE,177138,"BAIRRO DO ALEGRE, SN - POVOADO DE JUNDIAQUA - 18190000"
135538,BAIRRO DA MEIA LEGUA,167806,"BAIRRO DA MEIA LEGUA, SN - POVOADO DE JUNDIAQUA - 18190000"
114805,FAZENDA PAPA JOAO XXIII,177139,"FAZENDA PAPA JOAO XXIII, SN - POVOADO DE JUNDIAQUA - 18190000"
114806,BAIRRO SANTA ROSA,177140,"BAIRRO SANTA ROSA, SN - TURVO - 18180000"
135539,BAIRRO BELCHIOR,177141,"BAIRRO BELCHIOR, SN - TURVO - 18180000"
114808,BAIRRO SAMAMBAIA,177142,"BAIRRO SAMAMBAIA, SN -  - 00000000"
114809,BAIRRO SAMAMBAIA,177143,"BAIRRO SAMAMBAIA, SN -  - 00000000"
135540,BUENO DE ANDRADA,169014,"BUENO DE ANDRADA, SN -  - 14800000"
114810,FAZENDA NIAGARA,169017,"FAZENDA NIAGARA, SN -  - 14800000"
