102082,BAIRRO TAQUARUCU,169934,"BAIRRO TAQUARUCU, SN - CENTRO - 17160000"
102083,FAZENDA SAO JOAO,169935,"SAO JOAO, SN - CENTRO - 17160000"
102084,BAIRRO CORCOVO,169936,"BAIRRO CORCOVO, SN - CENTRO - 17160000"
102085,JACUBA,169937,"CENTRO, SN - CENTRO - 17160000"
102086,FAZENDA BARRA BONITA,169938,"FAZENDA BARRA BONITA, SN - CENTRO - 17160000"
132870,BAIRRO RIBEIRAO BONITO,169939,"BAIRRO RIBEIRAO BONITO, SN - CENTRO - 17160000"
102089,ABILIO FRANCISCO DE SALLES,169937,"CENTRO, SN - CENTRO - 17160000"
102093,BAIRRO PIRAPITINGA,169940,"BAIRRO PIRAPITINGA, SN - CENTRO - 17160000"
102094,JACUBA,169937,"CENTRO, SN - CENTRO - 17160000"
102095,JACUBA,169937,"CENTRO, SN - CENTRO - 17160000"
102096,BAIRRO CENTRAL,169941,"CENTRAL, SN - CENTRO - 17580000"
102097,FAZENDA NOVA ESPERANCA,169942,"FAZENDA NOVA ESPERANCA, SN - CENTRO - 16680000"
102098,BAIRRO AGUA DO MACACO,169943,"BAIRRO AGUA DO MACACO, SN - CENTRO - 16680000"
102099,BAIRRO BARROCAO,169944,"BAIRRO BARROCAO, SN - CENTRO - 16680000"
102100,BAIRRO AGUA DO MACACO,169943,"BAIRRO AGUA DO MACACO, SN - CENTRO - 16680000"
132874,BAIRRO DO LELEI,169945,"BAIRRO DO LELEI, SN - CENTRO - 16680000"
102101,FAZENDA FUJI,169946,"FAZENDA FUJI, SN - CENTRO - 16680000"
102102,BAIRRO CARABINOTE,169947,"BAIRRO CARABINOTE, SN - CENTRO - 16680000"
102103,FAZENDA SAO PEDRO,169948,"FAZENDA SAO PEDRO, SN - CENTRO - 16680000"
102104,FAZENDA SANTA ROSALIA,169949,"FAZENDA SANTA ROSALIA, SN - CENTRO - 16680000"
102105,BAIRRO LARANJEIRAS,169950,"BAIRRO LARANJEIRAS, SN - CENTRO - 16680000"
102106,FAZENDA PALMEIRAS,169951,"FAZENDA PALMEIRAS, SN - CENTRO - 16680000"
102107,FAZENDA SERRINHA,169952,"FAZENDA SERRINHA, SN - CENTRO - 16680000"
102108,BAIRRO AGUA DO MACACO,169943,"BAIRRO AGUA DO MACACO, SN - CENTRO - 16680000"
102109,HORTO FLORESTAL DE ARARIBA,169953,"HORTO FLORESTAL DE ARARIBA, SN - CENTRO - 16680000"
102110,FAZENDA PALMEIRAS,169951,"FAZENDA PALMEIRAS, SN - CENTRO - 16680000"
102111,FAZENDA CALIFORNIA,169954,"FAZENDA CALIFORNIA, SN - CENTRO - 16680000"
102112,BAIRRO AGUA DO MACACO,169943,"BAIRRO AGUA DO MACACO, SN - CENTRO - 16680000"
102113,ESTACAO DE NOGUEIRA,169955,"ESTACAO DE NOGUEIRA, SN - CENTRO - 16680000"
102114,FAZENDA SAO BOM JESUS,169956,"FAZENDA SAO BOM JESUS, SN - CENTRO - 17480000"
102117,SOCIEDADE BENEFICENTE CRISTA,169957,"FAZENDA VAL DE PALMAS, SN -  - 17100000"
132877,SOCIEDADE BENEFICENTE CRISTA,169957,"FAZENDA VAL DE PALMAS, SN -  - 17100000"
102118,SOCIEDADE BENEFICENTE CRISTA,169957,"FAZENDA VAL DE PALMAS, SN -  - 17100000"
102119,SOCIEDADE BENEFICENTE CRISTA  3,169957,"FAZENDA VAL DE PALMAS, SN -  - 17100000"
102120,ESTACAO DE AIMORES,169958,"ESTACAO DE AIMORES, SN -  - 17100000"
102122,INSTITUTO PENAL AGRICOLA,169959,"INST PENAL AGRICOLA DE BAURU, SN -  - 17100000"
102123,BAIRRO CAMPO NOVO,169960,"BAIRRO CAMPO NOVO, SN -  - 17100000"
102124,SITIOS SANTA MARIA,169961,"SITIOS SANTA MARIA, SN -  - 17100000"
102125,FAZENDA RANCHO ALEGRE,169962,"FAZENDA RANCHO ALEGRE, SN -  - 17100000"
102126,FAZENDA CALIFORNIA,169963,"FAZENDA CALIFORNIA, SN -  - 17100000"
102127,BAIRRO DO RIO VERDE,169964,"BAIRRO DO RIO VERDE, SN -  - 17100000"
102128,FAZENDA SAO JOAO,169965,"FAZENDA SAO JOAO, SN -  - 17100000"
102129,SITIOS SANTA MARIA AGRUP A 369639,169961,"SITIOS SANTA MARIA, SN -  - 17100000"
132879,FAZENDA GABIROBA,169966,"FAZENDA GABIROBA, SN -  - 17100000"
102130,BAIRRO CAMPO NOVO,169960,"BAIRRO CAMPO NOVO, SN -  - 17100000"
102131,INSTITUTO PENAL AGRICOLA PROF NOE AZEVEDO,169959,"INST PENAL AGRICOLA DE BAURU, SN -  - 17100000"
102132,FAZENDA CALIFORNIA,169963,"FAZENDA CALIFORNIA, SN -  - 17100000"
102133,COLONIA SAO JOAO,169965,"FAZENDA SAO JOAO, SN -  - 17100000"
132880,FAZENDA SANTA ROSA,169967,"FAZENDA SANTA ROSA, SN -  - 17100000"
102134,FAZENDA BOA SORTE,169968,"FAZENDA BOA SORTE, SN -  - 17100000"
