101019,FAZENDA ALPES,169050,"ALPES, SN - CENTRO - 14825000"
132618,FAZENDA SANTA FRANCISCA,169051,"FAZENDA SANTA FRANCISCA, SN - CENTRO - 14825000"
101020,FAZENDA SAO LUIZ,169052,"FAZENDA SAO LUIZ, SN - CENTRO - 14825000"
101021,FAZENDA CONTENDAS,169053,"FAZENDA CONTENDAS, SN - CENTRO - 14825000"
101022,FAZENDA CONTENDAS,169053,"FAZENDA CONTENDAS, SN - CENTRO - 14825000"
101023,FAZENDA SAO LUIZ,169052,"FAZENDA SAO LUIZ, SN - CENTRO - 14825000"
101024,FAZENDA MONTE VERDE,169054,"FAZENDA MONTE VERDE, SN - CENTRO - 14825000"
132619,FAZENDA ENGENHO VELHO,169055,"FAZ ENGENHO VELHO, SN - CENTRO - 14825000"
101025,USINA MARIA ISABEL,169050,"ALPES, SN - CENTRO - 14825000"
101026,BAIRRO TREMEMBE,169056,"BAIRRO TREMEMBE, SN - CENTRO - 14910000"
101027,BAIRRO TREMEMBE,169057,"TREMEMBE, SN - CENTRO - 14910000"
101028,BAIRRO VARJAO CANELEIRA,169058,"BAIRRO VARJAO CANELEIRA, SN - CENTRO - 14910000"
132620,BAIRRO CORREGO DO MEIO,169059,"BAIRRO CORREGO DO MEIO, SN - CENTRO - 14910000"
101030,FAZENDA JACUTINGA NOVA,169060,"FAZENDA JACUTINGA NOVA, SN - CENTRO - 14910000"
101031,FAZENDA JACUTINGA NOVA,169061,"JACUTINGA NOVA, SN - CENTRO - 14910000"
101032,FAZENDA ARIZONA,169062,"FAZENDA ARIZONA, SN - CENTRO - 14910000"
101033,SITIO MAPELLI,169063,"SITIO MAPELLI, SN - CENTRO - 14910000"
132621,BAIRRO CORREGO SAO JOAO,169064,"BAIRRO CARREGO SAO JOAO, SN - CENTRO - 14910000"
101034,BAIRRO CORREGO DOS MACHADOS,169065,"BAIRRO CORREGO DOS MACHADOS, SN - CENTRO - 14910000"
101035,BAIRRO DO MATO,169066,"BAIRRO DO MATO, SN - CENTRO - 14910000"
101036,BAIRRO MACUCO,169067,"MACUCO, SN - CENTRO - 14910000"
101040,FAZENDA JANGADA,169068,"FAZENDA JANGADA, SN -  - 14780000"
101043,POVOADO DA PRATA,169069,"POVOADO DA PRATA, SN -  - 14780000"
101044,POVOADO DA PRATA,169070,"POVOADO PRATA, SN -  - 14780000"
