133568,POSSEIROS DO RIBEIRAO BONITO,172234,"RIBEIRAO BONITO, SN - CENTRO - 19280000"
105083,ARRENDAMENTO RIBEIRAO BONITO,172235,"FAZENDA RIBEIRAO BONITO, SN - CENTRO - 19280000"
105084,AGROVILA 5,172236,"AGROVILA 5, SN - CENTRO - 19470000"
105085,SITIO SANTA MARIA,172237,"SITIO SANTA MARIA, SN - CENTRO - 19280000"
105086,PROJETO PECUARIA,172238,"PROJETO PECUARIA, SN - CENTRO - 19280000"
105087,SITIO SAO PEDRO,172239,"SITIO SAO PEDRO, SN - CENTRO - 19280000"
133569,COLONIA SITIO JONAS,172240,"SITIO JONAS, SN - CENTRO - 19280000"
105088,DESTILARIA ALCIDIA,172241,"FAZENDA ALCIDIA, SN - CENTRO - 19280000"
105091,FAZENDA ALCIDIA,165193,"FAZ ALCIDIA, SN - CENTRO - 19280000"
105092,USINA ALCIDIA,172241,"FAZENDA ALCIDIA, SN - CENTRO - 19280000"
105093,FAZENDA SOSSEGO,172242,"FAZENDA SOSSEGO, SN -  - 19285000"
105094,FAZENDA PONTE BRANCA,172243,"FAZENDA PONTE BRANCA, SN -  - 19285000"
105095,NUCLEO SANTA LUCILIA,172244,"AGROVILA, SN - CENTRO - 19450000"
105096,FAZENDA ROSANELA,172245,"FAZENDA ROSANELA, SN - CENTRO - 19280000"
105097,SITIO NOVAES,172246,"SITIO NOVAES, SN - CENTRO - 19470000"
133571,BAIRRO CORREGO SECO,172247,"BAIRRO CORREGO SECO, SN - CENTRO - 19280000"
105098,FAZENDA PIAU,172248,"FAZENDA PIAU, SN -  - 19285000"
105099,BAIRRO CRUZEIRO,172249,"RUA SANTOS DUMONT, 535 - CRUZEIRO - 14730000"
105100,FAZENDA GUANA,172250,"FAZENDA GUANA, SN -  - 19285000"
105101,FAZENDA SANTA AMALIA,172251,"FAZENDA SANTA AMALIA, SN - CENTRO - 19280000"
105102,SITIO SANTA RITA,172252,"SITIO SANTA RITA, SN -  - 19285000"
133572,SERRARIA GUANA,172253,"FAZENDA SOSSEGO, SN - CENTRO - 19280000"
105103,FAZENDA SANTO ANTONIO  UEAC,172254,"FAZENDA SANTO ANTONIO, SN - CENTRO - 19280000"
