690,PM AMERICO DE CAMPOS,199020,"RUA NOSSA SENHORA APARECIDA, 550 - CENTRO - 15550000"
1048,PM PARAISO,199024,"RUA DO CAFÉ, 649 - CENTRO - 15825000"
1027,PM NOVO HORIZONTE,199029,"AVENIDA ARMANDO DE BIASI, 1401 - VILA PATTI - 14960000"
1027,PM NOVO HORIZONTE,199031,"AVENIDA ARMANDO DE BIASI, 1401 - VILA PATTI - 14960000"
798,PM CHAVANTES,199032,"RUA MAESTRO CARLOS GOMES, 399 - JARDIM CONCEIÇÃO - 18970180"
852,PM GALIA,199038,"R JOAQUIM RODRIGUES FILHO, 689 - CENTRO - 17450000"
922,PM ITARARE,199040,"RUA PEDRO LOBO RIBEIRO, S/N - VILA TONICO ADOLFO - 18462002"
1276,PM BORBOREMA,199042,"RUA THEODORO PUZZI, 715 - VILA MARIANA - 14955000"
922,PM ITARARE,199044,"RUA PEDRO LOBO RIBEIRO, S/N - VILA TONICO ADOLFO - 18462002"
922,PM ITARARE,199045,"RUA PEDRO LOBO RIBEIRO, S/N - VILA TONICO ADOLFO - 18462002"
1006,PM MORRO AGUDO,199046,"RUA PADRE MANSUETO, 301 - CENTRO - 14640000"
763,PM CAFELANDIA,199048,"AVENIDA PEDRO THEODORO, 143 - CENTRO - 16500013"
763,PM CAFELANDIA,199050,"AVENIDA PEDRO THEODORO, 143 - CENTRO - 16500013"
910,PM ITANHAEM,199054,"RUA JOAQUIM PEDRO DO NASCIMENTO, 141 - IVOTY - 11740000"
981,PM MARTINOPOLIS,199055,"RUA TENENTE CASSIMIRO DIAS, 834 - CENTRO - 19500000"
940,PM JARDINOPOLIS,199065,"PÇA. DR. MÁRIO LINS, 150 - CENTRO - 14680000"
940,PM JARDINOPOLIS,199066,"PÇA. DR. MÁRIO LINS, 150 - CENTRO - 14680000"
742,PM BOA ESPERANCA DO SUL,199068,"PRAÇA JOÃO PESSOA, 409 - CENTRO - 14930000"
711,PM AREIOPOLIS,198762,"RUA ANTONIO GONÇALVES DA SILVA, 326 - CENTRO - 18670000"
1067,PM PEREIRA BARRETO,198779,"RUA HIRAYUKI ENOMOTO, 1245 - JARDIM JARUCHE - 15370000"
1075,PM PIQUETE,198796,"RUA CORONEL LUIZ RELVAS, 213 - CENTRO - 12620000"
1296,PM ITATINGA,198810,"RUA NOVE DE JULHO, 304 - CENTRO - 18690000"
